año	uso	referencia	lamina	producto	espesor	estaño	barnizint	barnizext	costo
2015	ATUN	C401/315X208L	L	C	17	B	GD	T	107.668
2015	ATUN	C401/315X407R	R	C	17	B	GD	T	162.342
2015	ATUN	C603X408R	R	C	24	A	GD	T	289.887
2015	ATUN	E307X109L	L	E	16	T	GD	T	45.235
2015	ATUN	E307X112L	L	E	16	T	GD	T	46.620
2015	ATUN	E211X200L	L	E	16	T	GD	T	63.795
2015	ATUN	E307X110.5L	L	E	16	T	GD	T	48.136
2015	ATUN	E307X110L	L	E	16	T	GD	T	48.467
2015	ATUN	C401/315X208L	L	C	17	B	GD	LIT	140.791
2015	ATUN	C603X207L	L	C	22	A	GD	T	210.382
2015	ATUN	E307X112L	L	E	16	T	GD	LIT	51.256
2015	ATUN	E307X110.5L	L	E	16	T	GD	LIT	64.338
2015	ATUN	E307X108L	L	E	16	T	GD	LIT	64.539
2015	ATUN	C211X106L	L	C	17	A	GD	T	35.307
2015	ATUN	C603X402R	R	C	22	A	GD	T	270.081
2015	ATUN	C211X106L	L	C	17	A	GD	T	69.249
2015	SARDINA	C202X308R	R	C	15	A	GD	T	64.600
2015	SARDINA	EOVAL15R	R	E	18	T	GD	T	107.298
2015	SARDINA	EOVAL16R	R	E	18	T	GD	T	101.159
2015	SARDINA	C202/200X308R	R	C	15	A	GD	T	64.634
2015	PALMITO	C300/214X407R	R	C	16	B	2B	T	96.237
2015	PALMITO	C603X700R	R	C	28	A	3B	T	490.492
2015	EOFSARD	T¼CLUB	TAPAS	T	21	T	G	T	27.396
2015	EOFPALM	T300	TAPAS	T	21	T	B	T	47.429
2015	ATUN	T603	TAPAS	T	26	T	GD	2T	80.176
2015	ATUN	T603	TAPAS	T	26	T	GD	2T	83.638
2015	ATUN	T211	TAPAS	T	20	T	GD	T	18.000
2015	ATUN	T211	TAPAS	T	20	T	GD	T	21.371
2015	ATUN	T307	TAPAS	T	20	T	GD	T	24.550
2015	ATUN	T307	TAPAS	T	20	T	GD	2T	24.439
2015	ATUN	T307	TAPAS	T	20	T	GD	2T	26.261
2015	ATUN	T307	TAPAS	T	20	T	GD	2T	26.600
2015	ATUN	T211	TAPAS	T	20	T	GD	LIT	19.387
2015	ATUN	T307EO	TAPAS	T	22	T	2G	LIT	36.241
2015	ATUN	T401	TAPAS	T	22	T	GD	T	39.206
2015	ATUN	T307EO	TAPAS	T	22	T	GD	T	36.000
2015	ATUN	T307EO	TAPAS	T	22	T	GD	LIT	37.438
2015	ATUN	T307EO	TAPAS	T	22	T	2G	T	34.286
2015	ATUN	T307EO	TAPAS	T	22	T	GD	T	29.290
2015	SARDINA	TOVAL16	TAPAS	T	24	T	GD	LIT	77.802
2015	SARDINA	T202	TAPAS	T	18	T	GD	LIT	12.615
2015	ATUN	C603X209L	L	C	24	A	GD	T	251.696
2015	ATUN	E307X109L	L	E	16	T	GD	T	47.929
