"año"	"cargo"	"fase"	"lamina"	"referencia"	"uso"	"espesor"	"estaño"	"costo"
"1"	2015	"Litográfica"	"PP"	"L"	"E208/211X207.5L"	"SALCH"	"16"	"PP"	1363.928155
"2"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T307EO"	"ATUN"	"22"	"T"	55.89796
"3"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T211EO"	"ATUN"	"22"	"T"	759.7067975
"4"	2015	"Corte"	"PP"	"OTROS"	"0.18X801X809"	"T4"	"NPI"	"T"	3.629312926676
"5"	2015	"Litográfica"	"PP"	"L"	"C211X208L"	"PEGA"	"17"	"PP"	54.105875
"6"	2015	"Comercialización"	"PT"	"R"	"C401/315X407R"	"ATUN"	"17"	"B"	17.6277280214
"7"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.22X839X702.8"	"T5"	"NPI"	"PP"	58.704644099318
"8"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X843X776"	"DR9"	"NPI"	"PP"	30.943376053352
"9"	2015	"Sanitarios Soldadura"	"PP"	"R"	"C300X407R"	"SARD"	"16"	"PP"	25.306269561846
"10"	2015	"Litográfica"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	162.943191522078
"11"	2015	"Litográfica"	"PP"	"TAPA"	"T307EO"	"ATUN"	"NPI"	"PP"	7.3134375
"12"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T315"	"PALMITO"	"22"	"T"	164.899786
"13"	2015	"Litográfica"	"PT"	"L"	"E307X110.5L"	"ATUN"	"16"	"T"	25.522967327296
"14"	2015	"Corte"	"PP"	"TAPA"	"T307EO"	"ATUN"	"22"	"PP"	32.163137
"15"	2015	"Comercialización"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	108.4709540214
"16"	2015	"Sanitarios Embutidos"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	0.126253560136
"17"	2015	"Comercialización"	"PT"	"L"	"CR904X904X1309L"	"PEGA"	"22"	"B"	10.3
"18"	2015	"Sanitarios Embutidos"	"PT"	"L"	"E307X110.5L"	"ATUN"	"16"	"T"	227.275503197759
"19"	2015	"Comercialización"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	18.395774999614
"20"	2015	"Litográfica"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	111.576743560136
"21"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X843X946.1"	"DR9"	"NPI"	"PP"	16.72486
"22"	2015	"Comercialización"	"PT"	"L"	"C211X106L"	"ATUN"	"17"	"A"	5.174340327296
"23"	2015	"Litográfica"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	75.483443327296
"24"	2015	"Litográfica"	"PT"	"L"	"E307X108L"	"ATUN"	"16"	"T"	424.952994560136
"25"	2015	"Bodega PT"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	523.54538
"26"	2015	"Comercialización"	"PT"	"L"	"C211X106L"	"ATUN"	"17"	"A"	35.268614327296
"27"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.18X801X809"	"T4"	"NPI"	"T"	137.7642075
"28"	2015	"Litográfica"	"PP"	"L"	"E307X109L"	"ATUN"	"NPI"	"PP"	60.7500315
"29"	2015	"Litográfica"	"PP"	"L"	"E208/211X207.5L"	"SALCH"	"16"	"PP"	137.720274
